Epoch,Loss,Training Accuracy,Testing Accuracy,Time Taken
1,2.7002441674351694,50.5,48.1,0 | 15 | 27.54
2,1.664458270379901,64.2,58.66,0 | 15 | 26.33
3,1.271247671957314,72.9,62.62,0 | 15 | 27.91
4,1.0026477202348412,79.25,65.9,0 | 15 | 22.50
5,0.7801971666691825,84.8,67.44,0 | 15 | 21.93
6,0.5942750510390848,89.7,68.9,0 | 15 | 21.80
7,0.4443358158627525,93.4,69.5,0 | 15 | 22.36
8,0.3300051359656267,95.3,69.75,0 | 15 | 22.43
9,0.2510820415642345,96.4,70.4,0 | 15 | 21.72
10,0.20168702615250367,97.1,69.94,0 | 15 | 21.07
11,0.17069391989093274,97.94,70.44,0 | 15 | 21.49
12,0.14611082384514157,97.75,69.8,0 | 15 | 20.63
13,0.12385066338148899,98.3,70.3,0 | 15 | 20.95
14,0.11518992566080996,98.2,69.9,0 | 15 | 20.41
15,0.10274333480602363,98.56,69.94,0 | 15 | 22.47
16,0.08888510560294162,98.56,70.5,0 | 15 | 21.18
17,0.08851236633510125,96.6,67.75,0 | 15 | 21.69
18,0.08082229480353563,98.9,70.0,0 | 15 | 23.22
19,0.0736931725006696,99.25,71.4,0 | 15 | 20.20
20,0.07252416148635529,99.0,70.0,0 | 15 | 25.31
21,0.06907431866256993,99.0,70.4,0 | 15 | 22.22
22,0.06033192446540488,99.06,70.4,0 | 15 | 19.14
23,0.05829503325456153,99.44,70.2,0 | 15 | 20.68
Final Averages,,"tensor(99.4020, device='cuda:0')","tensor(70.4200, device='cuda:0')","Total Time: 5 Hours, 53 Minutes, 44.38 Seconds"
