Epoch,Loss,Training Accuracy,Testing Accuracy,Time Taken
1,3.8308383728027344,25.92,28.77,0 | 23 | 17.43
2,2.6424548751831054,42.3,44.62,0 | 23 | 43.43
3,2.1004088716864584,51.9,51.16,0 | 23 | 30.21
4,1.7783028832018375,60.03,57.66,0 | 23 | 31.68
5,1.5353631859898567,63.72,59.28,0 | 23 | 30.01
6,1.3397570628196,69.9,62.6,0 | 23 | 33.76
7,1.1840702325455845,73.0,63.62,0 | 23 | 33.52
8,1.0430491647779943,77.75,65.6,0 | 23 | 32.69
9,0.9192603294342756,80.2,65.1,0 | 23 | 43.31
10,0.8017590489663183,83.1,66.3,0 | 23 | 35.38
11,0.70653532105349,85.75,68.1,0 | 23 | 35.41
12,0.6233921432282775,86.94,66.94,0 | 23 | 35.54
13,0.5562361120242626,88.8,66.8,0 | 23 | 37.26
14,0.4876088437272236,90.0,67.25,0 | 23 | 36.68
15,0.4354030017250218,90.9,67.6,0 | 23 | 35.26
Final Averages,,"tensor(91.0100, device='cuda:0')","tensor(67.6400, device='cuda:0')","Total Time: 5 Hours, 53 Minutes, 37.24 Seconds"
